id;membership_id;document_date;value_date;action;quantity;remark
1;1;2001-04-10;2001-04-11;SUBSCRIPTION;16;some|multiline|remark
2;1;2007-08-09;2007-12-31;CANCELLATION;16;another remark
3;2;2017-01-15;2017-01-17;SUBSCRIPTION;8;became a member again
4;2;2017-01-15;2017-01-17;SUBSCRIPTION;1;just writing something
5;3;2003-05-11;2003-05-18;SUBSCRIPTION;4;some comment
6;3;2003-05-15;2003-05-30;CANCELLATION;4;cancelled membership
7;4;2017-05-15;2017-05-17;SUBSCRIPTION;16;
8;5;2011-08-18;2011-09-01;SUBSCRIPTION;10;
9;5;2012-12-15;2013-01-01;SUBSCRIPTION;20;signed more shares
10;5;2017-11-22;2018-01-01;CANCELLATION;25;cancelled most of their shares


